ehead,ctryname,cowcode2,politycode,un_region_name,un_continent_name,leaderspellreg,democracy,regime,start_year,end_year,duration,observed
Mohammad Zahir Shah,Afghanistan,700,700.0,Southern Asia,Asia,Mohammad Zahir Shah.Afghanistan.1946.1952.Monarchy,Non-democracy,Monarchy,1946,1952,7,1
Sardar Mohammad Daoud,Afghanistan,700,700.0,Southern Asia,Asia,Sardar Mohammad Daoud.Afghanistan.1953.1962.Civilian Dict,Non-democracy,Civilian Dict,1953,1962,10,1
Mohammad Zahir Shah,Afghanistan,700,700.0,Southern Asia,Asia,Mohammad Zahir Shah.Afghanistan.1963.1972.Monarchy,Non-democracy,Monarchy,1963,1972,10,1
Sardar Mohammad Daoud,Afghanistan,700,700.0,Southern Asia,Asia,Sardar Mohammad Daoud.Afghanistan.1973.1977.Civilian Dict,Non-democracy,Civilian Dict,1973,1977,5,0
Nur Mohammad Taraki,Afghanistan,700,700.0,Southern Asia,Asia,Nur Mohammad Taraki.Afghanistan.1978.1978.Civilian Dict,Non-democracy,Civilian Dict,1978,1978,1,0
Babrak Karmal,Afghanistan,700,700.0,Southern Asia,Asia,Babrak Karmal.Afghanistan.1979.1984.Civilian Dict,Non-democracy,Civilian Dict,1979,1984,6,1
Mohammed Najibullah,Afghanistan,700,700.0,Southern Asia,Asia,Mohammed Najibullah.Afghanistan.1985.1991.Civilian Dict,Non-democracy,Civilian Dict,1985,1991,7,1
Burhanuddin Rabbani,Afghanistan,700,700.0,Southern Asia,Asia,Burhanuddin Rabbani.Afghanistan.1992.1995.Civilian Dict,Non-democracy,Civilian Dict,1992,1995,4,1
Mullah Mohammad Rabbani,Afghanistan,700,700.0,Southern Asia,Asia,Mullah Mohammad Rabbani.Afghanistan.1996.2000.Civilian Dict,Non-democracy,Civilian Dict,1996,2000,5,0
Hamid Karzai,Afghanistan,700,700.0,Southern Asia,Asia,Hamid Karzai.Afghanistan.2001.2008.Civilian Dict,Non-democracy,Civilian Dict,2001,2008,8,0
Enver Hoxha,Albania,339,339.0,Southern Europe,Europe,Enver Hoxha.Albania.1946.1984.Military Dict,Non-democracy,Military Dict,1946,1984,39,0
Ramiz Alia,Albania,339,339.0,Southern Europe,Europe,Ramiz Alia.Albania.1985.1990.Civilian Dict,Non-democracy,Civilian Dict,1985,1990,6,1
